video,subdomain,domain,top_level,response
ready-to-be-honest-about-environmentalism,www,nps,gov,200
ready-to-be-honest-about-environmentalism,www,nps,gov,200
ready-to-be-honest-about-environmentalism,www,scientificamerican,com,403
ready-to-be-honest-about-environmentalism,,fee,org,403
ready-to-be-honest-about-environmentalism,www,epa,gov,200
ready-to-be-honest-about-environmentalism,,thehill,com,403
ready-to-be-honest-about-environmentalism,www,prageru,com,200
ready-to-be-honest-about-environmentalism,www,eia,gov,200
ready-to-be-honest-about-environmentalism,www,forbes,com,200
ready-to-be-honest-about-environmentalism,www,prageru,com,200
ready-to-be-honest-about-environmentalism,www,prageru,com,200
ready-to-be-honest-about-environmentalism,www,theamericanconservative,com,403
ready-to-be-honest-about-environmentalism,www,prageru,com,200
ready-to-be-honest-about-environmentalism,www,washingtonpolicy,org,200
ready-to-be-honest-about-environmentalism,web,archive,org,200
ready-to-be-honest-about-environmentalism,www,prageru,com,200
ready-to-be-honest-about-environmentalism,www,nationalreview,com,200
ready-to-be-honest-about-environmentalism,www,nationalreview,com,200
