video,subdomain,domain,top_level,response
the-great-texas-freeze-of-2021,www,wsj,com,403
the-great-texas-freeze-of-2021,www,reuters,com,401
the-great-texas-freeze-of-2021,dallas,culturemap,com,200
the-great-texas-freeze-of-2021,,twitter,com,200
the-great-texas-freeze-of-2021,www,texaspolicy,com,200
the-great-texas-freeze-of-2021,css,umich,edu,200
the-great-texas-freeze-of-2021,www,theenergyalliance,com,200
the-great-texas-freeze-of-2021,abcnews,go,com,200
the-great-texas-freeze-of-2021,www,texastribune,org,200
the-great-texas-freeze-of-2021,www,texastribune,org,200
the-great-texas-freeze-of-2021,,knoema,com,200
