video,subdomain,domain,top_level,response
the-myth-of-overpopulation,www,nytimes,com,403
the-myth-of-overpopulation,www,census,gov,200
the-myth-of-overpopulation,www,un,org,403
the-myth-of-overpopulation,www,amazon,com,500
the-myth-of-overpopulation,www,amazon,com,500
the-myth-of-overpopulation,www,amazon,com,500
the-myth-of-overpopulation,www,amazon,com,500
the-myth-of-overpopulation,www,britannica,com,404
the-myth-of-overpopulation,sites,tufts,edu,200
the-myth-of-overpopulation,www,prageru,com,200
the-myth-of-overpopulation,www,statista,com,200
the-myth-of-overpopulation,www,sydney,edu.au,200
the-myth-of-overpopulation,www,econlib,org,403
the-myth-of-overpopulation,www,wired,com,200
the-myth-of-overpopulation,www,aei,org,200
