video,subdomain,domain,top_level,response
the-real-climate-crisis,www,wsj,com,403
the-real-climate-crisis,,ourworldindata,org,200
the-real-climate-crisis,,theconversation,com,403
the-real-climate-crisis,www,un,org,403
the-real-climate-crisis,www,thelancet,com,403
the-real-climate-crisis,www,fertilizerseurope,com,403
the-real-climate-crisis,www,thelancet,com,403
the-real-climate-crisis,www,statista,com,200
the-real-climate-crisis,www,statista,com,200
the-real-climate-crisis,www,wsj,com,403
the-real-climate-crisis,www,amazon,com,500
the-real-climate-crisis,www,amazon,com,500
the-real-climate-crisis,,brownpoliticalreview,org,200
the-real-climate-crisis,www,ons,gov.uk,200
the-real-climate-crisis,,thehill,com,403
the-real-climate-crisis,www,amazon,com,500
the-real-climate-crisis,www,euronews,com,404
the-real-climate-crisis,news.climate,columbia,edu,200
the-real-climate-crisis,www,nationalgeographic,com,200
the-real-climate-crisis,www,brusselstimes,com,200
the-real-climate-crisis,,qz,com,200
the-real-climate-crisis,www,un,org,403
the-real-climate-crisis,link,springer,com,200
the-real-climate-crisis,ec,europa,eu,404
the-real-climate-crisis,www,nationalreview,com,200
the-real-climate-crisis,www,heritage,org,200
the-real-climate-crisis,www,nationalreview,com,200
