video,subdomain,domain,top_level,response
the-truth-about-co2,www,co2science,org,200
the-truth-about-co2,www,co2science,org,200
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,youtube,com,200
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,youtube,com,200
the-truth-about-co2,www,co2science,org,200
the-truth-about-co2,www,theguardian,com,200
the-truth-about-co2,www,theguardian,com,200
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,co2science,org,200
the-truth-about-co2,www,youtube,com,200
the-truth-about-co2,www,co2science,org,200
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,youtube,com,200
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,theguardian,com,200
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,youtube,com,200
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,amazon,com,500
the-truth-about-co2,www,youtube,com,200
the-truth-about-co2,www,prageru,com,404
the-truth-about-co2,www,prageru,com,404
the-truth-about-co2,www,thegwpf,org,200
the-truth-about-co2,www,thegwpf,org,200
the-truth-about-co2,www,thegwpf,org,200
the-truth-about-co2,www,thegwpf,org,200
the-truth-about-co2,www,thegwpf,org,200
