video,subdomain,domain,top_level,response
whats-the-deal-with-the-green-new-deal,www,cato,org,200
whats-the-deal-with-the-green-new-deal,www,amazon,com,500
whats-the-deal-with-the-green-new-deal,,ourworldindata,org,200
whats-the-deal-with-the-green-new-deal,www,eia,gov,200
whats-the-deal-with-the-green-new-deal,www,apnews,com,200
whats-the-deal-with-the-green-new-deal,www,eia,gov,200
whats-the-deal-with-the-green-new-deal,www,prageru,com,200
whats-the-deal-with-the-green-new-deal,www,youtube,com,200
whats-the-deal-with-the-green-new-deal,www,prageru,com,200
whats-the-deal-with-the-green-new-deal,www.epw,senate,gov,200
whats-the-deal-with-the-green-new-deal,www,amazon,com,500
whats-the-deal-with-the-green-new-deal,web,archive,org,200
whats-the-deal-with-the-green-new-deal,,industrialprogress,com,200
whats-the-deal-with-the-green-new-deal,web,archive,org,200
whats-the-deal-with-the-green-new-deal,www,youtube,com,200
whats-the-deal-with-the-green-new-deal,www,prageru,com,200
whats-the-deal-with-the-green-new-deal,www,prageru,com,200
whats-the-deal-with-the-green-new-deal,web,archive,org,200
whats-the-deal-with-the-green-new-deal,www,prageru,com,200
whats-the-deal-with-the-green-new-deal,www,foxnews,com,200
whats-the-deal-with-the-green-new-deal,www,forbes,com,200
whats-the-deal-with-the-green-new-deal,www,youtube,com,200
whats-the-deal-with-the-green-new-deal,www,forbes,com,200
whats-the-deal-with-the-green-new-deal,www,world-nuclear,org,200
whats-the-deal-with-the-green-new-deal,www,world-nuclear,org,200
whats-the-deal-with-the-green-new-deal,www,world-nuclear,org,200
whats-the-deal-with-the-green-new-deal,www,washingtonpost,com,200
