video,subdomain,domain,top_level,response
whats-wrong-with-wind-and-solar,www,tandfonline,com,403
whats-wrong-with-wind-and-solar,,ourworldindata,org,200
whats-wrong-with-wind-and-solar,,modernize,com,403
whats-wrong-with-wind-and-solar,www,amnesty,org,403
whats-wrong-with-wind-and-solar,www,windpowerengineering,com,403
whats-wrong-with-wind-and-solar,auto,howstuffworks,com,200
whats-wrong-with-wind-and-solar,www,cfact,org,403
whats-wrong-with-wind-and-solar,www,manhattan-institute,org,200
whats-wrong-with-wind-and-solar,www,motherjones,com,200
whats-wrong-with-wind-and-solar,www,manhattan-institute,org,200
whats-wrong-with-wind-and-solar,www,instituteforenergyresearch,org,200
whats-wrong-with-wind-and-solar,www,energysage,com,200
whats-wrong-with-wind-and-solar,www,nature,com,200
whats-wrong-with-wind-and-solar,www,americanexperiment,org,200
whats-wrong-with-wind-and-solar,www,manhattan-institute,org,200
whats-wrong-with-wind-and-solar,www,prageru,com,200
whats-wrong-with-wind-and-solar,www,manhattan-institute,org,200
whats-wrong-with-wind-and-solar,www,nationofchange,org,200
