video,subdomain,domain,top_level,response
who-profits-from-the-green-energy-movement,www,pbs,org,200
who-profits-from-the-green-energy-movement,,thehill,com,403
who-profits-from-the-green-energy-movement,www,prageru,com,200
who-profits-from-the-green-energy-movement,,ourworldindata,org,200
who-profits-from-the-green-energy-movement,,fortune,com,200
who-profits-from-the-green-energy-movement,www,nytimes,com,200
who-profits-from-the-green-energy-movement,www,pilotonline,com,200
who-profits-from-the-green-energy-movement,www,nytimes,com,403
who-profits-from-the-green-energy-movement,www,prageru,com,200
who-profits-from-the-green-energy-movement,c402277.ssl.cf1,rackcdn,com,200
who-profits-from-the-green-energy-movement,www,forbes,com,200
who-profits-from-the-green-energy-movement,www,prageru,com,200
who-profits-from-the-green-energy-movement,www,aspeninstitute,org,200
who-profits-from-the-green-energy-movement,www,evwind,es,200
who-profits-from-the-green-energy-movement,www,prageru,com,200
who-profits-from-the-green-energy-movement,www,prageru,com,200
who-profits-from-the-green-energy-movement,www,citigroup,com,200
who-profits-from-the-green-energy-movement,www,world-nuclear,org,200
who-profits-from-the-green-energy-movement,www,washingtonpost,com,200
