video,subdomain,domain,top_level,response
why-are-utilities-so-expensive,www,epa,gov,200
why-are-utilities-so-expensive,www,eia,gov,200
why-are-utilities-so-expensive,www,eia,gov,200
why-are-utilities-so-expensive,www,energy,gov,403
why-are-utilities-so-expensive,www,eia,gov,200
why-are-utilities-so-expensive,www,energybc,ca,200
why-are-utilities-so-expensive,programs,dsireusa,org,200
why-are-utilities-so-expensive,,lifepowered,org,403
why-are-utilities-so-expensive,www,prageru,com,200
why-are-utilities-so-expensive,windexchange,energy,gov,200
why-are-utilities-so-expensive,www,cbsnews,com,200
why-are-utilities-so-expensive,www,bls,gov,403
why-are-utilities-so-expensive,www,ewg,org,200
why-are-utilities-so-expensive,www,ewg,org,200
why-are-utilities-so-expensive,www,forbes,com,200
why-are-utilities-so-expensive,www,newschannel10,com,200
why-are-utilities-so-expensive,www,forbes,com,200
why-are-utilities-so-expensive,www,prageru,com,200
why-are-utilities-so-expensive,www,forbes,com,200
why-are-utilities-so-expensive,www,eia,gov,200
why-are-utilities-so-expensive,www,npr,org,200
why-are-utilities-so-expensive,www,iea,org,200
